repository,library type,open issues,open pull requests,owlbot.py workaround?,samples,ready to migrate?,tracking isuse
python-access-context-manager,,OPEN,migration:pr:none, PROTOPLUS OWLBOT,NONE,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-access-context-manager%22
python-analytics-admin,,NONE,migration:pr:pending,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-analytics-admin%22
python-analytics-data,,OPEN,migration:pr:none,NONE :heavy_check_mark:,MANUAL • GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-analytics-data%22
python-appengine-admin,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-appengine-admin%22
python-asset,,NONE,migration:pr:pending, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-asset%22
python-assured-workloads,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,true :heavy_check_mark:,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-assured-workloads%22
python-bigquery-connection,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-bigquery-connection%22
python-bigquery-datatransfer,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-bigquery-datatransfer%22
python-bigquery-reservation,,NONE,migration:pr:none,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-bigquery-reservation%22
python-binary-authorization,,NONE,migration:pr:pending, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-binary-authorization%22
python-cloudbuild,,NONE,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-cloudbuild%22
python-compute,,OPEN,migration:pr:none, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-compute%22
python-container,,OPEN,migration:pr:pending,NONE :heavy_check_mark:,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-container%22
python-containeranalysis,,NONE,migration:pr:none, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-containeranalysis%22
python-dataflow-client,,NONE,migration:pr:none, PROTOPLUS OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-dataflow-client%22
python-dataproc,,OPEN,migration:pr:pending, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-dataproc%22
python-dialogflow,,NONE,migration:pr:pending, OWLBOT,GENERATED,,https://github.com/googleapis/google-cloud-python/issues?q=is%3Aissue+in%3Atitle%3A%22Adopt+split+repo+python-dialogflow%22
